portal,title,description,url,datetime
globo,Festival LED Belém: veja como foi a primeira vez do evento de educação na Amazônia,"Mais de 7 mil pessoas se inscreveram para o LED Belém, que contou com palestras, oficinas, mesas e apresentações. Programação gratuita foi na Estação das Docas e transmitida pelo g1. ",https://g1.globo.com/pa/para/noticia/2024/11/27/festival-led-belem-veja-como-foi-a-primeira-vez-do-evento-na-amazonia.ghtml,2024-11-28 01:17:59+00:00
globo,Festival LED Belém reúne milhares de estudantes e tem dueto entre Dona Onete e Gaby Amarantos; VÍDEOS,Veja como foram as primeiras horas do evento que ocorre pela primeira vez na capital paraense. Programação totalmente gratuita nesta quarta-feira (27)é na Estação das Docas e transmitida pelo g1. ,https://g1.globo.com/pa/para/noticia/2024/11/27/festival-led-belem-reune-milhares-de-pessoas-e-tem-primeira-mesa-com-dueto-musical-entre-dona-onete-e-gaby-amarantos-videos.ghtml,2024-11-27 17:10:54+00:00
globo,"Festival LED Belém nesta quarta tem Fafá, Gaby Amarantos, Dona Onete, Sandra Annenberg, Mítico, professores e muito mais; veja como assistir","Serão dez horas de programação totalmente gratuita na Estação das Docas, cartão-postal da capital paraense, com 50 palestrantes em 20 atividades como mesas de debates, shows e oficinas. ",https://g1.globo.com/pa/para/noticia/2024/11/27/festival-led-belem-nesta-quarta-tem-fafa-gaby-amarantos-dona-onete-sandra-annenberg-mitico-professores-e-muito-mais-veja-como-assistir.ghtml,2024-11-27 09:00:20+00:00
globo,"Inep orientou descontar pontos de redações do Enem 2024 que usaram repertório 'forçado' ou modelos prontos, dizem corretores","Cartilha do Participante já previa a necessidade de citações serem contextualizadas, mas treinamento do Inep no último sábado (23) reforçou que banca deve ficar 'de olho' nesses critérios. 'Estão implicando mais’, diz corretora. ",https://g1.globo.com/educacao/enem/2024/noticia/2024/11/27/inep-orientou-descontar-pontos-de-redacoes-do-enem-2024-que-usaram-repertorio-forcado-ou-modelos-prontos-dizem-corretores.ghtml,2024-11-27 08:02:52+00:00
globo,Festival LED em Belém: saiba como assistir à transmissão do g1,"Serão dez horas de programação totalmente gratuita na Estação das Docas, cartão-postal da capital paraense. O evento vai reunir mais de 25 palestrantes, em 5 palestras. ",https://g1.globo.com/pa/para/noticia/2024/11/26/festival-led-em-belem-saiba-como-assistir-a-transmissao-do-g1.ghtml,2024-11-26 19:54:47+00:00
globo,Festival LED terá painel do g1 para discutir a importância da informação no dia a dia: como consumir notícias de forma mais crítica,"Mesa está marcada para começar às 17h, no Anfiteatro da Estação das Docas, em Belém, no Palco LED Inova. O g1 também fará a transmissão de todo o evento.",https://g1.globo.com/pa/para/noticia/2024/11/26/festival-led-tera-painel-do-g1-para-discutir-a-importancia-da-informacao-no-dia-a-dia-como-consumir-noticias-de-forma-mais-critica.ghtml,2024-11-26 17:16:09+00:00
globo,Muito TikTok (ou Instagram etc.) faz mal ao cérebro: os benefícios de trocar as redes sociais por um livro,"Neste artigo, Carmen de Labra Pinedo, professora de fisiologia da Universidade da Corunha, na Espanha, explica que a leitura melhora a memória e a capacidade de reter informações. ",https://g1.globo.com/educacao/noticia/2024/11/26/muito-tiktok-ou-instagram-etc-faz-mal-ao-cerebro-os-beneficios-de-trocar-as-redes-sociais-por-um-livro.ghtml,2024-11-26 11:31:46+00:00
globo,O que esperar do concurso nacional do MEC para professores? Estudo mostra fragilidades dos processos seletivos atuais e aponta direção,"Ministro Camilo Santana deve dar detalhes ainda em novembro. Pesquisa da ONG Todos Pela Educação destaca que, nos concursos mais recentes, apenas 4 redes estaduais exigiram que professores dessem demonstração de aula antes de serem contratados. ",https://g1.globo.com/educacao/noticia/2024/11/26/o-que-esperar-do-concurso-nacional-do-mec-para-professores-estudo-mostra-fragilidades-dos-processos-seletivos-atuais-e-aponta-direcao.ghtml,2024-11-26 08:01:17+00:00
globo,"'Cotista, pobre'; 'Sou playboy, seu pai é motoboy': por que luta de classes domina jogos universitários","Alunos reafirmam-se como 'superiores' por critérios financeiros, étnicas ou intelectuais. Ofensas que dizem respeito a questões de raça, de deficiência ou de origem, por exemplo, são consideradas criminosas. ",https://g1.globo.com/educacao/noticia/2024/11/25/cotista-pobre-sou-playboy-seu-pai-e-motoboy-por-que-luta-de-classes-domina-jogos-universitarios.ghtml,2024-11-25 08:03:05+00:00
globo,O livro 'obsceno' que chegou a ser banido e depois virou best-seller mundial,"O julgamento do livro O Amante de Lady Chatterley, no Reino Unido, acabou promovendo a obra — e levou a uma corrida às livrarias para conferir o motivo de tanto alvoroço.",https://g1.globo.com/educacao/noticia/2024/11/24/o-livro-obsceno-que-chegou-a-ser-banido-e-depois-virou-best-seller-mundial.ghtml,2024-11-24 11:40:20+00:00
