,titulos,description,datas,portal
27,Empresa de delivery contrata todos entregadores após multa trabalhista,"Plataforma espanhola, comprada em julho de 2022 por Delivery Hero, enfrentava há anos as autoridades do país",2024-12-02 11:31:11,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/empresa-de-entregas-glovo-contratara-seus-entregadores-na-espanha.htm
28,Surto nos EUA de salmonela ligado a pepinos deixa ao menos 68 pessoas doentes,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:31:03,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/surto-nos-eua-de-salmonela-ligado-a-pepinos-deixa-ao-menos-68-pessoas-doentes.htm
29,Justiça manda apreender passaporte de Netinho de Paula por dívida,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:29:37,https://noticias.uol.com.br/colunas/rogerio-gentile/2024/12/02/justica-manda-apreender-passaporte-de-netinho-de-paula-por-divida.htm
30,Scholz anuncia nova ajuda militar à Ucrânia em viagem a Kiev,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:29:06,https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2024/12/02/scholz-anuncia-nova-ajuda-militar-a-ucrania-em-viagem-a-kiev.htm
31,Democracia só interessa às esquerdas? E Lira como babá permissiva de reaças,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:21:22,https://noticias.uol.com.br/colunas/reinaldo-azevedo/2024/12/02/democracia-so-interessa-as-esquerdas-e-lira-como-baba-permissiva-de-reacas.htm
32,Ouvidoria do Derrite: Órgãos temem impunidade à violência policial,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:21:14,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2024/12/02/ouvidoria-do-derrite-orgaos-veem-risco-de-impunidade-a-violencia-policial.htm
33,Estado belga é condenado por separação forçada de meninas no Congo,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:19:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/estado-belga-e-condenado-por-separacao-forcada-de-meninas-no-congo.htm
34,UOL Notícias | Notícias do Dia no Brasil e no Mundo,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:10:13,https://noticias.uol.com.br/newsletters/novos-posts/rogerio-gentile/2024/12/02/justica-manda-apreender-passaporte-de-netinho-de-paula-por-divida.htm
35,Elton John afirma que não conseguiu ver seu musical por causa de infecção no olho,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:09:15,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/elton-john-afirma-que-nao-conseguiu-ver-seu-musical-por-causa-de-infeccao-no-olho.htm
36,Torcida insatisfeita: confusão em estádio deixa 56 mortos em Guiné,"Hospitais estabeleceram um balanço provisório de 56 mortos, mas número pode aumentar, segundo autoridades locais",2024-12-02 11:05:17,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/ao-menos-56-mortos-apos-tumultos-em-partida-de-futebol-em-guine.htm
37,"Situação em Gaza é terrível e apocalíptica', alerta secretário-geral da ONU","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:04:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/situacao-em-gaza-e-terrivel-e-apocaliptica-alerta-secretario-geral-da-onu.htm
38,Esquerda vence eleição parlamentar na Romênia em meio à incerteza sobre Presidência,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:04:12,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/esquerda-vence-eleicao-parlamentar-na-romenia-em-meio-a-incerteza-sobre-presidencia.htm
39,Brasileiros ganham prêmio da ONU com filme sobre preconceito religioso,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:00:00,https://noticias.uol.com.br/ultimas-noticias/onu-news/2024/12/02/brasileiros-ganham-premio-daonu-com-filme-sobre-preconceito-religioso.htm
40,Embaixadora de Angola defende mais mulheres na diplomacia e mediação,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:00:00,https://noticias.uol.com.br/ultimas-noticias/onu-news/2024/12/02/embaixadora-de-angola-defende-mais-mulheres-na-diplomacia-e-mediacao.htm
41,Lula edita decreto que cria Programa Selo Amazônia para certificação de serviços e produtos,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:56:11,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/lula-edita-decreto-que-cria-programa-selo-amazonia-para-certificacao-de-servicos-e-produtos.htm
42,Presidente da Geórgia busca apoio da Europa ao desafiar governo do país,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:49:14,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/presidente-da-georgia-busca-apoio-da-europa-ao-desafiar-governo-do-pais.htm
43,Biden concede indulto ao filho Hunter,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:49:14,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/biden-concede-indulto-ao-filho-hunter.htm
44,Resgate com escavadeira: ciclone causa destruição na Índia e Sri Lanka,"O ciclone tocou a terra no sábado no estado de Tamil Nadu, no sudeste da Índia e provocou as piores chuvas em 24 horas dos últimos 30 anos em Puducherry",2024-12-02 10:42:26,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/ciclone-fengal-deixa-20-mortos-no-sri-lanka-e-na-india.htm
45,"Alemanha anuncia R$ 4,1 bilhões em ajuda militar à Ucrânia","A visita anterior de Scholz à Ucrânia havia acontecido em junho de 2022, ao lado do presidente francês Emmanuel Macron",2024-12-02 10:38:02,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/chefe-de-governo-da-alemanha-anuncia-nova-ajuda-militar-a-ucrania-durante-visita-surpresa.htm
46,"Produção de soja do RS na safra 2024/25 deve crescer 18,6%, diz Emater","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:32:11,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/producao-de-soja-do-rs-na-safra-202425-deve-crescer-186-diz-emater.htm
47,"Na agenda do dia, Lula reúne Haddad e bancos públicos pela manhã e se encontra com BYD à tarde","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:32:09,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/na-agenda-do-dia-lula-reune-haddad-e-bancos-publicos-pela-manha-e-se-encontra-com-byd-a-tarde.htm
48,Irã liberta rapper condenado por apoiar protestos em 2022,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:29:15,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/ira-liberta-rapper-condenado-por-apoiar-protestos-em-2022.htm
49,"Futuro do planeta está em jogo no principal tribunal da ONU, alertam autoridades de Vanuatu","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:19:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/futuro-do-planeta-esta-em-jogo-no-principal-tribunal-da-onu-alertam-autoridades-de-vanuatu.htm
50,Corais de Notre-Dame esperam ansiosos a reabertura da catedral,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:19:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/corais-de-notre-dame-esperam-ansiosos-a-reabertura-da-catedral.htm
51,Biden concede perdão presidencial ao filho Hunter,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 10:04:06,https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2024/12/02/biden-concede-perdao-presidencial-ao-filho-hunter.htm
